"","JULDAY","TIME","D0cm","D1.5cm","D5cm","D10cm","D15cm","D20cm","D30cm","D50cm","D100cm","D200cm"
"71",74,1320,-4.41504335403442,-3.6279034614563,-1.98908138275146,-1.46109640598297,-1.27965366840363,-1.2815101146698,-1.43250584602356,-1.37839925289154,-1.05344748497009,7.7416672706604
"72",74,1380,-4.44582080841064,-3.85317635536194,-2.20639443397522,-1.63029098510742,-1.37538301944733,-1.31368267536163,-1.41956901550293,-1.37687206268311,-1.0397275686264,7.7416672706604
"73",105,0,5.69459962844849,5.69459962844849,5.69459962844849,5.69459962844849,5.69459962844849,5.69459962844849,5.69459962844849,5.69459962844849,5.69459962844849,7.7416672706604
"74",105,60,2.0879237651825,3.19487285614014,5.28124332427979,5.62414264678955,5.6855354309082,5.69392061233521,5.69458961486816,5.69461345672607,5.69822263717651,7.7416672706604
"75",105,120,1.89388465881348,2.8431031703949,4.87935733795166,5.44164323806763,5.63289833068848,5.6848669052124,5.69424867630005,5.69465208053589,5.70182466506958,7.7416672706604
"76",105,180,1.80914318561554,2.65690732002258,4.59800291061401,5.24749565124512,5.54519701004028,5.65916204452515,5.69252061843872,5.69469738006592,5.70540761947632,7.7416672706604
"77",105,240,1.62770652770996,2.53458523750305,4.38321590423584,5.07015705108643,5.44267225265503,5.61693859100342,5.68815231323242,5.69471454620361,5.70897102355957,7.7416672706604
"78",105,300,1.62892270088196,2.42489171028137,4.20982503890991,4.91260385513306,5.3367338180542,5.56239700317383,5.68026542663574,5.69464302062988,5.71251630783081,7.7416672706604
"79",105,360,2.26763558387756,2.44483733177185,4.0804877281189,4.77458143234253,5.23276996612549,5.50004863739014,5.66846609115601,5.69441556930542,5.71604156494141,7.7416672706604
"80",105,420,3.23761343955994,3.2419068813324,4.0704517364502,4.67078161239624,5.13613700866699,5.43381977081299,5.65275526046753,5.69396209716797,5.71954727172852,7.7416672706604
"81",105,480,5.3748779296875,4.72610282897949,4.29773378372192,4.64783191680908,5.06130123138428,5.36869287490845,5.63347721099854,5.69321823120117,5.72303295135498,7.7416672706604
"82",105,540,8.13217449188232,6.64262676239014,4.78129625320435,4.74766159057617,5.03103446960449,5.31312799453735,5.61149024963379,5.69213056564331,5.72649574279785,7.7416672706604
"83",105,600,10.8056926727295,8.7313756942749,5.47758293151855,4.98527574539185,5.06524658203125,5.27832221984863,5.58837461471558,5.69067192077637,5.72993564605713,7.7416672706604
"84",105,660,13.1556177139282,10.6632308959961,6.30482006072998,5.34862804412842,5.17414855957031,5.2752513885498,5.56645774841309,5.68885040283203,5.7333517074585,7.7416672706604
"85",105,720,14.7834167480469,12.1667060852051,7.15702724456787,5.80261993408203,5.355797290802,5.31173038482666,5.54857444763184,5.68672513961792,5.73674345016479,7.7416672706604
"86",105,780,15.4001493453979,13.0131406784058,7.92195749282837,6.29596853256226,5.59631586074829,5.39040470123291,5.53764629364014,5.68440628051758,5.74010848999023,7.7416672706604
"87",105,840,14.8955554962158,13.066596031189,8.49438190460205,6.76850461959839,5.87191200256348,5.5078444480896,5.53620433807373,5.68205547332764,5.74344730377197,7.7416672706604
"88",105,900,13.4685354232788,12.3069086074829,8.79648113250732,7.16058683395386,6.15221166610718,5.65469980239868,5.54592990875244,5.67986679077148,5.74676084518433,7.7416672706604
"89",105,960,10.6427049636841,10.9215106964111,8.78945541381836,7.42322874069214,6.40499067306519,5.81687545776367,5.5673131942749,5.67805337905884,5.75005006790161,7.7416672706604
"90",105,1020,8.43518829345703,8.93580341339111,8.4819164276123,7.52540874481201,6.60118293762207,5.97755765914917,5.59949207305908,5.67681646347046,5.75331544876099,7.7416672706604
"91",105,1080,5.83280324935913,6.84518718719482,7.92726516723633,7.45968389511108,6.71937704086304,6.11970663070679,5.64029502868652,5.67632675170898,5.75656032562256,7.7416672706604
"92",105,1140,4.16836404800415,5.3810338973999,7.26609706878662,7.25077438354492,6.75026226043701,6.22872924804688,5.68649530410767,5.67669486999512,5.75978803634644,7.7416672706604
