"","JULDAY","TIME","TALOC","TAREF","RHLOC","RH","VLOC","VREF","TS","T2","TDEEP","ZEN","SOLR","TSKYC","DEW","FROST","SNOWFALL","SNOWDEP"
"1",15,0,-13.8977661132812,-13.4153137207031,78.4828567504883,75.0999984741211,1.07559478282928,4.90000009536743,-14.7834358215332,-13.4640665054321,7.7416672706604,90,0,-31.7303314208984,0,0,0,0
"2",15,60,-13.8609256744385,-13.5766296386719,80.4939270019531,78.4301528930664,1.07731533050537,4.90783786773682,-14.3831434249878,-13.7944183349609,7.7416672706604,90,0,-31.7636871337891,0,0,0,0
"3",15,120,-14.0000400543213,-13.70849609375,83.9696578979492,81.7603149414062,1.07903587818146,4.91567611694336,-14.5358991622925,-13.9823093414307,7.7416672706604,90,0,-31.7672271728516,0,0,0,0
"4",15,180,-14.231969833374,-13.8163452148438,88.3916168212891,85.0904693603516,1.08075630664825,4.92351388931274,-14.9963483810425,-14.0802145004272,7.7416672706604,90,0,-31.7471313476562,0,0,0,0
"5",15,240,-14.2070045471191,-13.904541015625,90.9045791625977,88.4206237792969,1.08247685432434,4.93135166168213,-14.7636070251465,-14.2696008682251,7.7416672706604,90,0,-31.7082366943359,0,0,0,0
"6",15,300,-14.2830762863159,-13.9766540527344,94.3642349243164,91.7507858276367,1.08419740200043,4.93918991088867,-14.8473052978516,-14.3792495727539,7.7416672706604,90,0,-31.6544952392578,0,0,0,0
"7",15,360,-14.2358417510986,-14.0355834960938,96.8425064086914,95.080940246582,1.08635079860687,4.94899988174438,-14.6048631668091,-14.5251426696777,7.7416672706604,90,1.61131065397058e-05,-31.5890960693359,0,0,0,0
"8",15,420,-14.3925428390503,-14.0838012695312,100,99.2490005493164,1.08729231357574,4.95328950881958,-14.9616584777832,-14.5431137084961,7.7416672706604,90,0.346966475248337,-31.4817962646484,0,0,0,0
"9",15,480,-13.9264802932739,-13.8422241210938,100,99.2490005493164,1.08355009555817,4.93624114990234,-14.0815896987915,-14.1058492660522,7.7416672706604,84.6508483886719,36.3007202148438,-31.1684722900391,0,0,0,0
"10",15,540,-11.6412973403931,-11.9533386230469,87.1240768432617,89.6059951782227,1.0798077583313,4.91919326782227,-11.0676107406616,-12.1343965530396,7.7416672706604,76.4525604248047,120.767585754395,-29.2527770996094,0,0,0,0
"11",15,600,-8.26174259185791,-9.13128662109375,71.0752182006836,76.7209930419922,1.07606554031372,4.90214490890503,-6.66519784927368,-8.93964099884033,7.7416672706604,69.9729843139648,200.663970947266,-26.3748474121094,0,0,0,0
"12",15,660,-4.9563775062561,-6.19815063476562,45.7987518310547,50.951000213623,1.07232332229614,4.88509654998779,-2.67942237854004,-5.50346994400024,7.7416672706604,65.7644805908203,251.119369506836,-24.3528900146484,0,0,0,0
"13",15,720,-2.50658059120178,-4.0084228515625,44.887264251709,50.951000213623,1.06483888626099,4.85099983215332,0.239910423755646,-2.62515497207642,7.7416672706604,64.2979888916016,269.572875976562,-21.6558074951172,0,0,0,0
"14",15,780,-1.58359587192535,-3.20001220703125,46.2518615722656,52.9634170532227,1.06483888626099,4.85099983215332,1.37242197990417,-1.01906776428223,7.7416672706604,65.7644805908203,251.0205078125,-20.5031890869141,0,0,0,0
"15",15,840,-2.34145355224609,-4.0084228515625,47.7671699523926,54.9758338928223,1.06581676006317,4.85545444488525,0.708078265190125,-1.18302822113037,7.7416672706604,69.9729843139648,201.522033691406,-21.3551025390625,0,0,0,0
"16",15,900,-5.10544013977051,-6.19815063476562,51.8825454711914,56.9882507324219,1.06679451465607,4.85990905761719,-3.10575199127197,-2.96220684051514,7.7416672706604,76.4525604248047,121.544212341309,-23.9181213378906,0,0,0,0
"17",15,960,-8.5700159072876,-9.13128662109375,56.1570510864258,59.0006675720215,1.06777226924896,4.86436367034912,-7.54251623153687,-6.15091943740845,7.7416672706604,84.6508483886719,36.6127662658691,-27.3928070068359,0,0,0,0
"18",15,1020,-10.5504140853882,-10.6796875,60.3136177062988,61.0130844116211,1.06875002384186,4.8688178062439,-10.3136768341064,-8.95218467712402,7.7416672706604,90,0.349585264921188,-29.1639862060547,0,0,0,0
"19",15,1080,-11.4242506027222,-11.3397827148438,63.5049171447754,63.0254974365234,1.06972789764404,4.87327289581299,-11.5789918899536,-10.4897899627686,7.7416672706604,90,1.62260330398567e-05,-29.8498840332031,0,0,0,0
"20",15,1140,-12.0381927490234,-11.8795166015625,65.9746856689453,65.0379180908203,1.07070577144623,4.87772703170776,-12.3289813995361,-11.3723926544189,7.7416672706604,90,0,-30.3922271728516,0,0,0,0
"21",15,1200,-12.5173349380493,-12.3208618164062,68.2525253295898,67.0503311157227,1.07168364524841,4.88218212127686,-12.8775119781494,-12.0219478607178,7.7416672706604,90,0,-30.8177490234375,0,0,0,0
"22",15,1260,-12.7639188766479,-12.6817016601562,69.5793533325195,69.0627517700195,1.07266139984131,4.88663625717163,-12.9146976470947,-12.5995111465454,7.7416672706604,90,0,-31.1481323242188,0,0,0,0
"23",15,1320,-13.2197704315186,-12.9767761230469,72.6630630493164,71.0751647949219,1.0736391544342,4.89109086990356,-13.6655406951904,-12.9389743804932,7.7416672706604,90,0,-31.4011535644531,0,0,0,0
"24",15,1380,-13.4768695831299,-13.2180480957031,74.8314208984375,73.0875854492188,1.07461714744568,4.8955454826355,-13.9518404006958,-13.2740907669067,7.7416672706604,90,0,-31.59130859375,0,0,0,0
