"","JULDAY","TIME","TALOC","TAREF","RHLOC","RH","VLOC","VREF","TS","T2","TDEEP","ZEN","SOLR","TSKYC","DEW","FROST","SNOWFALL","SNOWDEP"
"1",15,0,-12.5875654220581,-13.4153137207031,69.6590270996094,75.0999984741211,1.07559478282928,4.90000009536743,-11.0680141448975,-11.0680141448975,7.7416672706604,90,0,-21.2502288818359,0,0,-208.759078979492,-208.759078979492
"2",15,60,-13.5087213516235,-13.5766296386719,77.9456176757812,78.4301528930664,1.07731533050537,4.90783786773682,-13.383978843689,-12.6532716751099,7.7416672706604,90,0,-21.3964080810547,0,0,0,0
"3",15,120,-13.6569156646729,-13.70849609375,81.3761138916016,81.7603149414062,1.07903587818146,4.91567611694336,-13.5621099472046,-12.9219884872437,7.7416672706604,90,0,-21.5137939453125,0,0,0,0
"4",15,180,-13.7635087966919,-13.8163452148438,84.6806335449219,85.0904693603516,1.08075630664825,4.92351388931274,-13.6663379669189,-13.0801525115967,7.7416672706604,90,0,-21.6077728271484,0,0,0,0
"5",15,240,-13.8763666152954,-13.904541015625,88.1931228637695,88.4206237792969,1.08247685432434,4.93135166168213,-13.8245191574097,-13.1949071884155,7.7416672706604,90,0,-21.6826171875,0,0,0,0
"6",15,300,-13.9369382858276,-13.9766540527344,91.4179534912109,91.7507858276367,1.08419740200043,4.93918991088867,-13.8638076782227,-13.2984781265259,7.7416672706604,90,0,-21.7418518066406,0,0,0,0
"7",15,360,-13.994402885437,-14.0355834960938,94.7233352661133,95.080940246582,1.08635079860687,4.94899988174438,-13.9185180664062,-13.3823099136353,7.7416672706604,90,1.61131065397058e-05,-21.788330078125,0,0,0,0
"8",15,420,-14.0956869125366,-14.0838012695312,99.3572082519531,99.2490005493164,1.08729231357574,4.95328950881958,-14.1175966262817,-13.4356317520142,7.7416672706604,90,0.346966475248337,-21.8215789794922,0,0,0,0
"9",15,480,-13.7950973510742,-13.8422241210938,98.8221435546875,99.2490005493164,1.08355009555817,4.93624114990234,-13.7083396911621,-13.3417778015137,7.7416672706604,84.6508483886719,34.5350799560547,-21.5794219970703,0,0,0,0
"10",15,540,-11.9658460617065,-11.9533386230469,89.7072830200195,89.6059951782227,1.0798077583313,4.91919326782227,-11.9888391494751,-12.3802146911621,7.7416672706604,76.4525604248047,116.519264221191,-19.7332763671875,0,0,0,0
"11",15,600,-9.19183349609375,-9.13128662109375,77.131965637207,76.7209930419922,1.07606554031372,4.90214490890503,-9.30300235748291,-10.5940494537354,7.7416672706604,69.9729843139648,195.114791870117,-16.9736633300781,0,0,0,0
"12",15,660,-6.31603384017944,-6.19815063476562,51.4719619750977,50.951000213623,1.07232332229614,4.88509654998779,-6.53218841552734,-8.50045871734619,7.7416672706604,65.7644805908203,244.912185668945,-14.1917419433594,0,0,0,0
"13",15,720,-4.14662504196167,-4.0084228515625,51.5523147583008,50.951000213623,1.06483888626099,4.85099983215332,-4.39936256408691,-6.66034603118896,7.7416672706604,64.2979888916016,263.175659179688,-12.0092163085938,0,0,0,0
"14",15,780,-3.30032730102539,-3.20001220703125,53.413516998291,52.9634170532227,1.06483888626099,4.85099983215332,-3.48377823829651,-5.5820198059082,7.7416672706604,65.7644805908203,244.815734863281,-11.1893005371094,0,0,0,0
"15",15,840,-4.06944799423218,-4.0084228515625,55.2613182067871,54.9758338928223,1.06581676006317,4.85545444488525,-4.18108606338501,-5.54930353164673,7.7416672706604,69.9729843139648,195.949142456055,-11.9822998046875,0,0,0,0
"16",15,900,-6.15296030044556,-6.19815063476562,56.7665405273438,56.9882507324219,1.06679451465607,4.85990905761719,-6.07026195526123,-6.60980129241943,7.7416672706604,76.4525604248047,117.268569946289,-14.1531066894531,0,0,0,0
"17",15,960,-9.13719367980957,-9.13128662109375,59.031551361084,59.0006675720215,1.06777226924896,4.86436367034912,-9.1480073928833,-8.39053058624268,7.7416672706604,84.6508483886719,34.8319435119629,-17.0641326904297,0,0,0,0
"18",15,1020,-10.6135606765747,-10.6796875,60.6541213989258,61.0130844116211,1.06875002384186,4.8688178062439,-10.4924621582031,-9.89984798431396,7.7416672706604,90,0.349585264921188,-18.5950775146484,0,0,0,0
"19",15,1080,-11.0676860809326,-11.3397827148438,61.507381439209,63.0254974365234,1.06972789764404,4.87327289581299,-10.569221496582,-10.7616271972656,7.7416672706604,90,1.62260330398567e-05,-19.2416229248047,0,0,0,0
"20",15,1140,-11.836763381958,-11.8795166015625,64.7879409790039,65.0379180908203,1.07070577144623,4.87772703170776,-11.7584161758423,-11.1946105957031,7.7416672706604,90,0,-19.7686462402344,0,0,0,0
"21",15,1200,-12.2783212661743,-12.3208618164062,66.79296875,67.0503311157227,1.07168364524841,4.88218212127686,-12.2003335952759,-11.601616859436,7.7416672706604,90,0,-20.1980133056641,0,0,0,0
"22",15,1260,-12.6342716217041,-12.6817016601562,68.7664642333984,69.0627517700195,1.07266139984131,4.88663625717163,-12.5472936630249,-11.9421262741089,7.7416672706604,90,0,-20.5475311279297,0,0,0,0
"23",15,1320,-12.8796234130859,-12.9767761230469,70.4507675170898,71.0751647949219,1.0736391544342,4.89109086990356,-12.701397895813,-12.241678237915,7.7416672706604,90,0,-20.8318328857422,0,0,0,0
"24",15,1380,-13.1699905395508,-13.2180480957031,72.7685623168945,73.0875854492188,1.07461714744568,4.8955454826355,-13.0817995071411,-12.4664430618286,7.7416672706604,90,0,-21.0628204345703,0,0,0,0
"25",46,0,-10.284330368042,-11.3197021484375,67.6449127197266,74.1999969482422,1.05364394187927,4.80000019073486,-8.39849758148193,-8.39849758148193,7.7416672706604,90,0,-19.2361297607422,0,0,-478.151611328125,0
"26",46,60,-11.3822956085205,-11.4763793945312,77.4025573730469,78.0589828491211,1.05556201934814,4.80873775482178,-11.2108125686646,-10.3305959701538,7.7416672706604,90,0,-19.3742980957031,0,0,0,0
"27",46,120,-11.5297050476074,-11.6015625,81.3907775878906,81.91796875,1.05748009681702,4.81747579574585,-11.3986444473267,-10.638331413269,7.7416672706604,90,0,-19.4818115234375,0,0,0,0
"28",46,180,-11.6327114105225,-11.7016296386719,85.2470932006836,85.7769546508789,1.0593980550766,4.82621335983276,-11.5069246292114,-10.8095073699951,7.7416672706604,90,0,-19.5649719238281,0,0,0,0
"29",46,240,-11.7273111343384,-11.7816162109375,89.1989669799805,89.6359405517578,1.06131601333618,4.83495140075684,-11.6281261444092,-10.9346199035645,7.7416672706604,90,0,-19.6287384033203,0,0,0,0
"30",46,300,-11.7912359237671,-11.8455505371094,93.0386505126953,93.4949264526367,1.0641804933548,4.84800052642822,-11.6919326782227,-11.0387573242188,7.7416672706604,90,0,-19.6770782470703,0,0,0,0
"31",46,360,-11.8413991928101,-11.8966369628906,98.7653884887695,99.2580032348633,1.06577849388123,4.85528039932251,-11.7403497695923,-11.1238384246826,7.7416672706604,90,0.00375135359354317,-19.7059173583984,0,0,0,0
"32",46,420,-11.8373622894287,-11.91845703125,98.5355987548828,99.2580032348633,1.06253969669342,4.84052610397339,-11.6891822814941,-11.1769495010376,7.7416672706604,87.8699111938477,10.1350879669189,-19.7257080078125,0,0,0,0
