"","JULDAY","TIME","D0cm","D1.5cm","D5cm","D10cm","D15cm","D20cm","D30cm","D50cm","D100cm","D200cm"
"61",74,720,16.8856582641602,13.325306892395,6.60217094421387,-0.115457564592361,-0.118213914334774,-0.196066662669182,-0.398347496986389,-0.815291881561279,-0.53748494386673,7.7416672706604
"62",74,780,17.9309196472168,14.5010204315186,7.91202259063721,-0.0263808220624924,-0.11859430372715,-0.196256726980209,-0.398355215787888,-0.805828928947449,-0.524489402770996,7.7416672706604
"63",74,840,16.1579418182373,14.0547981262207,8.33060455322266,0.0710759162902832,-0.117833867669106,-0.196443051099777,-0.398353815078735,-0.796509861946106,-0.511527717113495,7.7416672706604
"64",74,900,12.9274492263794,11.9396562576294,7.78128337860107,0.165366679430008,-0.115928120911121,-0.196616247296333,-0.398343414068222,-0.787330985069275,-0.498600363731384,7.7416672706604
"65",74,960,8.4102258682251,8.31135559082031,6.33284950256348,0.245358124375343,-0.113010928034782,-0.196767702698708,-0.398324131965637,-0.778289020061493,-0.485707521438599,7.7416672706604
"66",74,1020,2.45691013336182,3.94115972518921,4.14189767837524,0.301334470510483,-0.109339438378811,-0.196890443563461,-0.398296058177948,-0.769380748271942,-0.472849518060684,7.7416672706604
"67",74,1080,-1.45503735542297,0.20356185734272,1.77115416526794,0.327824264764786,-0.10526043176651,-0.196979969739914,-0.398259371519089,-0.760602653026581,-0.46002659201622,7.7416672706604
"68",74,1140,-2.86792206764221,-1.79647135734558,0.00180894881486893,0.32835727930069,-0.101126492023468,-0.197034940123558,-0.398214071989059,-0.751951634883881,-0.447238981723785,7.7416672706604
"69",74,1200,-3.64977598190308,-2.70121502876282,-0.969888031482697,0.312847018241882,-0.0971932709217072,-0.197056323289871,-0.398160308599472,-0.743424654006958,-0.434486985206604,7.7416672706604
"70",74,1260,-4.11161994934082,-3.2363452911377,-1.50158381462097,0.289083182811737,-0.0935969278216362,-0.19704681634903,-0.398098170757294,-0.735018849372864,-0.421770811080933,7.7416672706604
"71",74,1320,-4.26235771179199,-3.61815142631531,-1.82015097141266,0.260988384485245,-0.0904017686843872,-0.197009682655334,-0.398027718067169,-0.726731181144714,-0.409090638160706,7.7416672706604
"72",74,1380,-4.67323875427246,-3.83504009246826,-2.03339505195618,0.230492025613785,-0.0876370221376419,-0.196948632597923,-0.397949010133743,-0.718558788299561,-0.396446764469147,7.7416672706604
"73",105,0,1.89811110496521,3.05356979370117,5.47147607803345,7.95383501052856,9.16815280914307,9.37960815429688,8.04225444793701,6.28727960586548,5.87632513046265,7.7416672706604
"74",105,60,1.6665506362915,2.71121764183044,4.94083881378174,7.3411078453064,8.66081809997559,9.06354141235352,8.06784248352051,6.31725454330444,5.88108205795288,7.7416672706604
"75",105,120,1.49106597900391,2.44702053070068,4.51125049591064,6.81822538375854,8.19883441925049,8.74653339385986,8.0651912689209,6.34668970108032,5.88592004776001,7.7416672706604
"76",105,180,1.243079662323,2.25909161567688,4.15758609771729,6.36914682388306,7.78026962280273,8.4375638961792,8.03810596466064,6.37510967254639,5.89083433151245,7.7416672706604
"77",105,240,1.25758123397827,2.07147026062012,3.86506962776184,5.9808292388916,7.40195465087891,8.14172458648682,7.99047565460205,6.40212249755859,5.89582014083862,7.7416672706604
"78",105,300,1.19113314151764,1.94427120685577,3.62038660049438,5.64322280883789,7.06024837493896,7.86156892776489,7.92598867416382,6.42741584777832,5.90087080001831,7.7416672706604
"79",105,360,2.15124154090881,2.40669298171997,3.54706788063049,5.36478662490845,6.75323820114136,7.59819316864014,7.84801197052002,6.45075368881226,5.90598011016846,7.7416672706604
"80",105,420,5.6927170753479,4.53837490081787,4.11640405654907,5.25774240493774,6.50116968154907,7.35470342636108,7.75961589813232,6.47196578979492,5.91114091873169,7.7416672706604
